66241062;;;;115837254;;;;267978096;;;;376187210;;;;588999079;;;;619224495;;;;624915237;;;;643206681;;;;698421966;;;;732226454;;;;800520779;;;;896204147;;;;1067751838;;;;1105778662;;;;1209416329;;;;1241271014;;;;1423383369;;;;1463114689;;;;1708211192;;;;1755483733;;;;1811548489;;;;1891198729;;;;1998410532;;;;2056696850;;;;2113632023;;;;2206254614;;;;2477162645;;;;2576978609;;;;2612708609;;;;2667856806;;;;2792672736;;;;2825395819;;;;2888527149;;;;3091103201;;;;3119357525;;;;3134376116;;;;3289532485;;;;3309020767;;;;3402094018;;;;3842281435;;;;3891058259;;;;4033821422;;;;4164248214;;;;4184855649;;;;4282125547;;;;
#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;
0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2377.58;0;;0;1268.67;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2393.89;0;;0;1277.12;0;;0;1303.68;0;;1;2390.47;0;;0;1303.68;0;;1;2401.08;0;;0;1303.68;0;;0;1303.68;0;;1;2392.48;0;;0;1275.91;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2424.36;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1205.9;0;;0;1260.22;0;;0;1303.68;0;;1;2404.66;0;;1;2401.91;0;;0;1226.42;0;;1;2383.39;0;;1;2392.14;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2589.31;0;;0;1268.67;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2576.75;0;;0;1277.12;0;;0;1303.68;0;;1;2581.24;0;;0;1303.68;0;;1;2590.28;0;;0;1303.68;0;;0;1303.68;0;;1;2603.94;0;;0;1275.91;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2616.06;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1205.9;0;;0;1260.22;0;;0;1303.68;0;;1;2598.37;0;;1;2598.29;0;;1;2612.15;0;;1;2569.89;0;;1;2586.85;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2600.44;0;;0;1268.67;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2574.05;0;;0;1277.12;0;;0;1303.68;0;;1;2542.79;0;;0;1303.68;0;;1;2589.65;0;;0;1303.68;0;;0;1303.68;0;;1;2614.71;0;;1;2632.21;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2611.65;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1205.9;0;;0;1260.22;0;;0;1303.68;0;;1;2564.98;0;;1;2594.05;0;;1;2620.44;0;;1;2572.47;0;;1;2584.71;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2528.47;0;;0;1268.67;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2507.03;0;;0;1277.12;0;;0;1303.68;0;;1;2481.55;0;;0;1303.68;0;;1;2517.9;0;;0;1303.68;0;;0;1303.68;0;;1;2529.15;0;;1;2562.45;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2550.76;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2579.93;0;;0;1260.22;0;;0;1303.68;0;;1;2506.85;0;;1;2537.95;0;;1;2549.06;0;;1;2501.26;0;;1;2520.34;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;3136.52;0;;1;3113.24;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;3169.64;0;;0;1277.12;0;;0;1303.68;0;;1;3081.17;0;;0;1303.68;0;;1;3158.73;0;;0;1303.68;0;;0;1303.68;0;;1;3136.36;0;;1;3124.48;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;3246.2;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;3123.23;0;;0;1260.22;0;;0;1303.68;0;;1;3178.02;0;;1;3219.5;0;;1;3129.96;0;;1;3150.99;0;;1;3200.25;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;3116.79;0;;1;3092.84;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;3140.11;0;;0;1277.12;0;;0;1303.68;0;;1;3057.56;0;;0;1303.68;0;;1;3131.67;0;;0;1303.68;0;;0;1303.68;0;;1;3111.83;0;;1;3107.22;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;3161.73;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;3098.16;0;;1;3075.07;0;;0;1303.68;0;;1;3118.66;0;;1;3157.51;0;;1;3104.63;0;;1;3124.08;0;;1;3150.21;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;3192.51;0;;1;3171.31;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;3217.74;0;;1;3164.4;0;;0;1303.68;0;;1;3138.43;0;;0;1303.68;0;;1;3212.36;0;;0;1303.68;0;;0;1303.68;0;;1;3189.64;0;;1;3184.25;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;3241.66;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;3172.9;0;;1;3162.51;0;;0;1303.68;0;;1;3212.68;0;;1;3237.52;0;;1;3179.59;0;;1;3197;0;;1;3227.15;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;3191.9;0;;1;3169.55;0;;0;1303.68;0;;1;3146.64;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;3214.61;0;;1;3158.28;0;;0;1303.68;0;;1;3139.88;0;;0;1303.68;0;;1;3211.6;0;;0;1303.68;0;;0;1303.68;0;;1;3187.11;0;;1;3182.41;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;3243.22;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;3167.51;0;;1;3154.26;0;;0;1303.68;0;;1;3195.36;0;;1;3236.51;0;;1;3172.63;0;;1;3193.05;0;;1;3224.52;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;3126.58;0;;1;3102.43;0;;0;1303.68;0;;1;3085.48;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;3148.95;0;;1;3092.24;0;;0;1303.68;0;;1;3075.73;0;;0;1303.68;0;;1;3145.19;0;;0;1303.68;0;;1;3085.88;0;;1;3121.81;0;;1;3115.35;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;3173.79;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;3099.49;0;;1;3088.06;0;;0;1303.68;0;;1;3167.57;0;;1;3172.04;0;;1;3104.4;0;;1;3126.46;0;;1;3156.83;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
0;1303.68;0;;0;1303.68;0;;1;3078.48;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;3121.75;0;;1;3100.75;0;;0;1303.68;0;;1;3086.6;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;3147.31;0;;1;3092.1;0;;0;1303.68;0;;1;3075.32;0;;0;1303.68;0;;1;3142.26;0;;0;1303.68;0;;1;3087.8;0;;1;3117.41;0;;1;3113.8;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;3174.82;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;3097.7;0;;1;3089.67;0;;0;1303.68;0;;1;3188.97;0;;1;3170.51;0;;1;3103.3;0;;1;3124.46;0;;1;3157.19;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
