imageName X Y Z Omega Phi Kappa
1-3.jpg -19.342041 -44.614647 -27.764381 50.586243 -32.928283 -79.804092
1-30.jpg -11.327667 -13.422921 -19.903547 17.700000 -17.966881 -97.919406
1-38.jpg -7.611295 -2.303049 -19.040426 10.961019 -17.129324 -101.354911
1-31.jpg -10.901470 -12.080913 -19.697098 16.597605 -19.149321 -98.455558
1-32.jpg -10.317651 -10.685248 -19.815367 15.876116 -18.458775 -98.863842
1-33.jpg -9.852537 -9.261162 -19.666936 15.615215 -18.108950 -99.097467
1-34.jpg -9.456807 -7.889810 -19.501622 14.885985 -17.659256 -99.483702
1-39.jpg -7.049573 -0.852256 -19.114216 10.858198 -17.090942 -101.471825
1-35.jpg -8.913751 -6.477797 -19.552763 13.812718 -17.874472 -100.017410
1-36.jpg -8.455597 -5.107999 -19.457223 13.362243 -18.182180 -100.334461
1-37.jpg -7.905631 -3.691724 -19.431236 11.904530 -18.295193 -100.973066
1-4.jpg -19.478409 -43.902638 -26.945048 49.397528 -33.272499 -80.370810
1-40.jpg -6.458084 0.565913 -19.135000 9.739551 -15.994227 -102.034197
1-41.jpg -5.658687 2.021762 -19.539989 9.591801 -13.185237 -102.293424
1-42.jpg -5.299314 3.390282 -19.312770 8.662027 -13.040045 -102.675430
1-46.jpg -3.193095 9.045888 -19.334587 5.178968 -12.274571 -104.191192
1-52.jpg 0.094371 17.359791 -19.726700 0.010511 -10.907843 -106.401868
1-43.jpg -4.816905 4.867308 -19.182177 7.451142 -12.958829 -103.217662
1-57.jpg 2.914058 24.247305 -20.222891 -4.725869 -9.602228 -108.399623
1-44.jpg -4.152783 6.229898 -19.489612 6.789532 -11.890049 -103.587697
1-62.jpg 5.869145 30.789094 -21.276405 -8.469888 -7.303237 -110.069246
1-45.jpg -3.772304 7.688468 -19.263529 5.457362 -12.474458 -104.029135
1-47.jpg -2.751617 10.458123 -19.182621 4.547135 -12.644589 -104.540096
1-48.jpg -2.461556 11.874811 -18.881178 3.862534 -14.812625 -104.837924
1-49.jpg -1.675203 13.273791 -19.338824 3.109852 -11.566772 -105.276752
1-64.jpg 6.872891 33.490198 -21.357475 -9.751362 -7.373573 -110.571397
1-5.jpg -18.951377 -42.603997 -26.950188 46.249146 -29.320339 -82.436176
1-50.jpg -1.327752 14.655007 -19.056056 1.765201 -13.305443 -105.647656
1-51.jpg -0.831691 16.138036 -19.047592 1.364648 -12.921508 -105.799298
1-53.jpg 0.717133 18.719829 -19.946621 0.133977 -10.210145 -106.591837
1-67.jpg 8.700467 37.258473 -22.140917 -11.477154 -6.183148 -111.446588
1-54.jpg 1.010406 20.176379 -19.578043 -1.591542 -11.625887 -107.119418
1-65.jpg 7.353491 34.900482 -21.280848 -10.786045 -8.400800 -110.897203
1-55.jpg 1.667755 21.550602 -19.835987 -2.452225 -11.105582 -107.480996
1-56.jpg 2.369017 22.819633 -20.221609 -3.329184 -9.558884 -107.990397
1-60.jpg 4.660501 28.169168 -20.820764 -6.608472 -8.425471 -109.261756
1-58.jpg 3.530597 25.505587 -20.530122 -5.014659 -8.972615 -108.625346
1-69.jpg 9.839536 39.848854 -22.484797 -12.707855 -6.084272 -111.980033
1-59.jpg 4.058109 26.924238 -20.558373 -6.237955 -8.849799 -109.010930
1-6.jpg -18.527294 -41.357185 -26.900741 44.786288 -27.785837 -83.350143
1-61.jpg 5.208264 29.526306 -20.854575 -7.569943 -8.561108 -109.666104
1-63.jpg 6.365285 32.155269 -21.260947 -9.297985 -7.237299 -110.388796
1-66.jpg 8.091078 36.024996 -21.843566 -10.935912 -6.584424 -111.147826
1-68.jpg 9.548035 38.321402 -22.962491 -11.504207 -4.262903 -111.693380
1-7.jpg -18.389642 -40.444940 -26.387904 43.615106 -27.709897 -83.995278
1-70.jpg 10.759096 40.752915 -23.632930 -12.685135 -4.171236 -112.160429
1-71.jpg 11.202782 42.139575 -23.549399 -13.393979 -5.099963 -112.404739
1-72.jpg 11.765144 43.367899 -23.814673 -13.810912 -5.601041 -112.582480
1-73.jpg 12.275506 44.717175 -23.886891 -14.538370 -5.791023 -112.834413
1-75.jpg 13.443444 47.427790 -24.073386 -16.244455 -8.634558 -113.210873
1-8.jpg -18.557756 -39.702387 -25.502337 44.337493 -28.517378 -83.666189
1-9.jpg -18.229359 -38.576873 -25.230935 43.853800 -27.432180 -84.011744
