x,y,z,sx,sy,sz
34.17,18.29,-107.61,1638.4119,2401.9781,4157.9355
48.28,31.79,-118.93,3462.6822,4229.8994,5414.1807
51.98,35.33,-123.06,3879.5075,4655.1179,5849.9086
89.25,62.60,-162.87,7716.3036,7658.5719,9844.8725
30.57,14.39,-104.35,941.6944,1697.2560,3772.8006
77.86,29.42,-162.91,6481.0833,4006.3346,9875.2448
94.80,64.39,-169.45,8260.0253,7851.9101,10488.9972
30.31,11.61,-103.96,828.4646,991.7719,3721.4905
83.40,27.47,-168.92,7020.1637,3764.1058,10472.5758
95.78,67.22,-171.22,8364.5098,8147.0099,10658.9897
57.55,14.27,-143.07,4362.5400,1745.3368,7899.3757
39.65,11.34,-94.93,2325.3817,699.6237,2589.6531
30.03,12.07,-103.76,761.3798,1137.4454,3698.3382
52.78,19.03,-134.26,3882.0637,2561.9174,7001.4831
49.19,14.52,-121.58,3467.7723,1722.8952,5687.0292
32.86,14.93,-106.56,1392.2583,1807.0751,4032.0657
35.25,11.10,-105.89,1726.7396,778.4239,3950.9508
32.30,16.37,-105.55,1312.0461,2073.8910,3917.0371
44.56,12.46,-124.66,2933.4258,1296.8653,6005.3619
33.18,15.86,-106.43,1456.0796,1982.0198,4018.2001
48.15,26.69,-120.93,3421.0886,3601.6885,5621.7997
71.83,24.89,-158.97,5863.1253,3428.7816,9486.4499
31.72,10.35,-104.44,1121.5437,398.8649,3776.9453
31.67,13.38,-105.87,1157.8637,1478.5379,3948.3948
74.44,28.23,-159.05,6137.6748,3853.4224,9493.5281
58.50,42.95,-130.53,4594.5861,5529.2183,6622.8040
35.50,10.53,-102.97,1757.8245,432.8081,3606.8107
51.36,33.78,-124.54,3805.8828,4478.5231,6002.2850
84.40,57.76,-157.71,7228.1290,7147.8418,9340.6402
76.25,17.67,-164.83,6276.3541,2382.8317,10075.6478
37.86,13.28,-104.87,2110.9411,1409.1679,3838.3908
39.86,10.94,-106.25,2352.6030,657.7963,3995.8704
78.07,52.42,-152.66,6588.4966,6581.3284,8843.4871
37.29,18.85,-109.46,2082.5993,2487.2013,4368.7194
40.07,19.27,-111.65,2441.2252,2551.1786,4615.1398
73.11,50.11,-144.75,6091.8328,6320.5025,8058.3559
40.87,21.54,-113.10,2555.1850,2894.4928,4776.5180
32.74,12.49,-103.74,1339.0745,1235.5414,3698.5196
35.50,16.19,-109.00,1813.6655,2044.2024,4312.8429
75.47,47.80,-150.37,6315.5730,6082.1930,8619.4754
82.48,56.18,-156.40,7034.9714,6981.5698,9212.2833
37.54,12.56,-104.94,2062.5855,1227.7791,3844.8142
34.12,14.25,-107.10,1588.5784,1663.5588,4093.2366
89.10,24.95,-181.25,7568.7367,3461.2733,11686.0232
85.97,60.90,-161.38,7391.5725,7484.4064,9698.8683
79.02,22.07,-166.96,6567.2294,3048.8840,10282.2892
63.62,45.89,-133.81,5127.2552,5850.9021,6958.4996
59.98,13.18,-146.61,4609.9729,1517.9988,8257.9905
45.44,12.31,-119.61,3033.6770,1212.4876,5474.2077
78.93,20.13,-168.16,6550.7911,2770.8957,10402.1467
36.32,10.49,-102.64,1875.1223,374.1558,3567.0619
65.50,16.51,-153.31,5190.9123,2180.3171,8927.8713
57.36,12.11,-143.82,4332.6896,1248.9961,7976.2800
41.83,11.59,-114.90,2603.2513,984.9571,4964.6021
67.18,17.68,-154.22,5367.1173,2375.6346,9019.2833
33.82,14.69,-106.87,1546.2369,1755.2291,4068.0215
37.58,17.61,-108.13,2110.4431,2278.5676,4218.2645
36.32,19.77,-108.01,1959.3296,2626.9782,4206.7374
74.44,19.25,-164.07,6101.5926,2636.9999,9997.9923
50.01,10.37,-135.39,3536.6047,628.0197,7116.5012
74.12,21.52,-161.75,6078.5604,2966.5163,9765.9977
61.08,10.71,-149.46,4712.8817,815.4603,8545.0574
36.36,10.81,-105.82,1884.5658,631.1166,3942.8257
34.83,15.67,-108.73,1711.1212,1950.8575,4281.0171
54.35,10.23,-140.13,4004.8168,555.5434,7601.7521
68.62,20.24,-154.96,5523.4302,2772.6089,9091.2570
79.08,52.08,-151.85,6687.2830,6540.0393,8764.4975
36.23,23.33,-115.39,1981.0853,3172.2436,5021.7979
59.02,43.72,-129.27,4651.2989,5608.9914,6494.8993
36.59,19.72,-108.27,1996.4124,2619.4603,4236.8730
82.36,20.25,-172.33,6890.5473,2792.3142,10814.3013
60.53,11.11,-148.21,4657.6370,956.9738,8419.9842
131.49,33.20,-233.93,11687.4274,4545.7755,16806.1578
75.86,16.26,-165.45,6231.6195,2147.6578,10138.2248
58.59,10.81,-144.72,4454.3678,829.9603,8068.0055
63.58,12.60,-150.85,4978.7006,1382.0099,8685.2661
73.41,17.59,-162.77,5992.2765,2372.1204,9870.6854
37.25,15.79,-110.61,2052.9983,1971.0721,4493.0201
72.92,25.20,-159.75,5974.0141,3469.5427,9564.6229
34.14,19.35,-105.61,1642.0255,2560.0150,3930.7217
70.06,15.54,-159.71,5648.0455,2015.8766,9567.1134
31.94,10.65,-104.60,1170.7618,590.2704,3795.4674
28.59,16.70,-102.29,368.7257,2132.5016,3531.7860
27.78,24.56,-94.56,215.2164,3286.5185,2576.0678
31.75,18.57,-104.67,1240.3052,2442.9304,3818.5542
35.55,19.45,-107.73,1849.4368,2579.3694,4173.8902
30.34,20.27,-99.25,980.9318,2688.7369,3171.0670
123.44,36.61,-220.81,10926.5283,4927.4778,15529.1051
66.45,12.65,-154.95,5271.8587,1402.5823,9095.2899
32.45,12.37,-104.42,1286.7782,1209.0263,3778.0738
31.37,10.44,-109.05,1056.6147,550.1270,4306.2196
38.96,19.70,-113.10,2306.1150,2628.9809,4772.7491
65.98,15.19,-153.62,5234.4208,1939.4326,8960.6551
42.63,13.85,-120.60,2715.8467,1611.3042,5577.5111
68.72,10.59,-158.49,5493.3317,778.7468,9450.5208
121.52,26.09,-221.59,10709.9998,3648.8428,15621.8131
39.48,14.60,-107.81,2331.4698,1713.0530,4179.5706
113.11,24.38,-212.53,9894.8106,3419.0301,14742.9141
49.74,10.20,-134.77,3506.0246,530.4581,7053.1532
42.42,21.15,-113.84,2738.0222,2835.5445,4857.9448
38.84,21.12,-110.60,2301.1240,2830.9367,4499.4622
90.31,17.73,-185.83,7660.9039,2425.0289,12143.5346
131.96,33.69,-232.00,11734.6316,4596.0993,16619.6427
123.05,27.53,-223.31,10861.8741,3836.1129,15785.6842
47.74,20.01,-119.54,3337.8750,2670.5753,5472.1892
29.50,13.92,-103.90,649.4995,1599.2558,3717.6912
35.47,13.69,-104.78,1783.0670,1520.7794,3825.6362
32.79,17.03,-105.44,1404.3275,2188.1312,3906.2144
35.79,14.08,-104.96,1834.1108,1606.5154,3847.7840
37.48,10.35,-101.41,2033.8685,111.6009,3420.0082
30.57,10.80,-107.17,881.2176,716.8157,4092.2902
92.66,19.51,-186.01,7897.3474,2697.2390,12160.1842
30.73,18.47,-101.85,1036.9959,2417.7060,3484.9259
39.30,12.12,-96.13,2286.9297,1013.0484,2755.4039
38.92,18.91,-110.70,2294.4335,2495.2852,4508.4266
72.29,48.57,-144.88,6004.2295,6156.5487,8071.9094
37.99,10.53,-95.18,2102.8105,87.3328,2618.8782
75.54,15.99,-163.29,6199.1038,2089.7287,9924.8824
114.43,22.90,-213.51,10018.2621,3215.6833,14840.9007
77.85,42.05,-155.55,6527.8944,5460.1677,9137.8937
39.16,11.22,-101.36,2263.4768,734.0791,3417.0453
58.25,32.39,-134.37,4519.7506,4327.4003,7014.4405
67.78,15.23,-150.64,5418.2628,1923.9602,8665.7323
76.28,12.85,-167.11,6260.2131,1466.9350,10305.4731
51.78,11.45,-134.83,3734.3736,1029.0865,7060.7714
82.06,46.90,-160.65,6959.3909,6000.5008,9638.6833
44.67,20.39,-118.12,2994.8033,2732.4714,5318.6651
75.66,42.94,-154.47,6315.6781,5561.4892,9028.6925
76.40,11.48,-165.72,6267.2281,1087.2761,10169.7067
104.68,20.51,-201.95,9068.4056,2864.8110,13717.6685
50.48,26.22,-125.69,3672.0983,3550.2213,6119.5360
94.12,55.43,-174.72,8163.3200,6931.3551,11012.8764
55.03,35.05,-129.58,4198.1244,4636.0115,6523.5206
58.19,29.94,-135.52,4502.3324,4033.0672,7131.0686
30.04,12.65,-103.69,776.1453,1295.1223,3690.5246
29.00,17.42,-101.83,568.1632,2253.1462,3478.7634
29.73,11.40,-105.00,661.3670,937.2129,3841.9191
42.83,27.75,-111.16,2827.6520,3718.2179,4572.1776
33.27,13.09,-105.90,1438.6362,1399.5937,3952.4635
47.83,19.16,-126.02,3344.1735,2566.2611,6151.2124
90.44,56.46,-163.11,7811.4092,7012.7829,9875.5448
36.86,10.57,-102.26,1950.9115,420.0547,3522.7965
30.54,14.53,-103.73,934.7877,1722.8137,3699.5064
127.22,25.83,-229.89,11256.5920,3625.8755,16427.2033
89.14,57.41,-165.47,7687.9413,7123.2627,10105.1723
75.30,9.77,-164.45,6151.0243,241.3938,10045.4814
35.42,18.83,-107.35,1826.1712,2482.3713,4130.5197
98.39,14.14,-192.01,8438.1549,1763.7486,12757.2541
47.05,16.91,-125.08,3244.4958,2198.8010,6051.8210
33.09,14.69,-106.18,1426.7572,1755.5974,3987.7131
38.42,11.28,-95.78,2166.0889,700.2952,2704.0559
92.66,59.32,-169.09,8035.3917,7327.0089,10458.6278
80.59,51.34,-156.39,6831.6948,6471.1269,9214.0317
32.11,11.99,-107.46,1223.3205,1125.3735,4129.6915
35.32,13.64,-104.68,1761.5887,1509.2828,3813.7380
