1-0 H_25.40000_179.29412
4201 -2.47566 6.82361
4202 -11.32992 -26.35951
4203 4.71254 -0.88277
4204 -7.91727 -15.62477
4211 -12.08690 -9.75032
4212 2.28928 11.10189
4213 -1.51363 14.24532
4214 -5.22262 6.63869
4215 -4.77272 5.76579
4217 -4.53066 6.66084
4218 -2.23490 13.73481
4225 7.66846 7.61834
4232 -6.04138 -23.04784
4459 4.11268 0.73627
4504 -0.17249 -13.61984
-99
1-12 H_25.40000_60.02055
1001 6.67040 -4.62149
1072 10.68897 -5.34796
1073 0.94788 -13.13321
1074 7.51855 -12.41255
1077 10.64166 -8.20709
1078 6.35957 -11.11947
1079 -3.12745 -16.68112
1080 -0.74582 -10.99900
1082 11.91025 -18.63124
1083 3.16390 0.41084
1084 -9.60121 -1.60534
1087 2.82071 5.71066
1088 0.04562 -17.91028
1089 7.04031 -19.76709
1090 0.98176 -18.46955
1091 2.14247 -19.62770
1092 2.70162 -16.96334
1093 -2.79999 -20.83643
1094 10.53113 -5.74341
1095 9.65782 1.50204
1096 4.92403 -16.24030
1097 4.25558 -16.59256
1098 12.18571 -11.98365
1099 1.44444 -5.39303
1100 10.35616 -13.42700
1101 2.30159 -15.58487
1102 -1.35586 -6.48979
1103 6.06998 -10.67315
1104 2.19863 -17.73069
1105 11.23527 -6.57480
1106 6.50273 -20.16106
1107 9.61468 -2.48071
1108 11.40609 -11.04897
1109 -6.25094 -2.07019
1110 -6.24364 -1.04340
1111 -4.77451 -5.98838
1112 6.44656 -13.50704
1113 2.85331 2.07901
1114 -3.15167 4.38279
1115 -1.62276 0.33511
1116 -6.39663 -3.59100
1117 3.37532 6.48666
1118 -0.19194 -5.70669
1119 -2.27816 4.78087
1120 -1.21253 -15.83106
1121 0.41808 -18.79933
1126 -8.37218 -4.68932
1127 0.33240 -12.09640
1128 4.23623 -10.93822
1129 6.81884 -21.69791
1130 -8.10194 -0.09349
1131 2.44974 -11.57499
1132 4.78163 -14.27644
1133 -3.30293 -8.80208
1135 -6.98521 0.47686
1136 -1.28766 -8.27464
1137 4.87283 -11.73599
1138 2.62734 -10.54377
1139 8.46894 0.99439
1140 -7.67442 0.12951
1142 6.28272 -8.34673
1144 4.58781 -12.07160
1145 9.93030 -2.90499
1146 4.03865 -6.53020
1147 8.30713 -10.68428
1148 6.71968 -5.88459
1149 7.52053 -18.86979
1150 -0.13290 -18.67520
1151 2.80341 -26.27082
1152 -5.38001 -25.07638
1155 -3.38379 -22.16690
1156 10.35805 -22.76224
1157 9.67856 -22.73877
1158 6.33222 -23.87589
1159 8.75348 -24.48308
1162 -1.81512 -8.54352
1164 4.47716 -27.88878
1165 -0.28877 -2.13873
1166 8.55979 -25.34361
1167 -1.51114 -19.94934
1168 3.39142 -1.27814
1169 2.24116 -25.16433
1170 10.33796 -23.52765
1171 10.35887 -22.37507
1172 -2.62651 -7.87596
1173 11.10040 -20.35121
1174 11.91532 -21.37559
1182 -8.77312 -14.51353
1183 -7.36287 -24.24060
1184 -0.57277 -12.11145
1185 7.35825 -14.68756
1187 -3.36564 7.30256
1188 7.46722 -23.43933
1189 2.73683 -27.77206
1190 8.81872 -21.14498
1194 10.74451 -25.62388
1195 -4.54393 -25.05169
1196 3.33949 -24.31569
1197 2.86451 -25.62519
1198 -9.83575 -3.76966
1199 9.23229 -26.30872
1201 -7.15575 -4.60715
1202 -7.66842 -0.24245
1203 9.01523 -28.02985
1204 -1.10794 -20.27947
1211 -0.08260 -26.58509
1213 6.76212 -21.00377
1215 11.88836 0.93127
1217 7.10188 -8.18071
1219 11.40523 -2.34465
1220 7.36857 -21.34332
1221 4.90971 -20.48513
1222 6.96122 -26.15988
1223 -1.08064 -2.69709
1224 7.94016 -27.20449
1225 0.12193 -27.46194
1227 -4.52520 -23.66260
1229 7.42727 -25.32507
1230 11.99538 -16.02914
1231 0.17483 -15.71492
1232 -1.20325 -23.63281
1233 11.41565 -2.82160
