_0.0_153x1080 (RGB)
PerspectiveCamera5
0.0699894, -0.0171102, 0.336117, -0.202155, -0.0645759, 0.144593, -0.53742, 1
_0.0_444x1051 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.0440149, -0.0010338, -0.174525, 0.187572, -0.169449, -0.0437607, 0.215291
-0.0440149, 1, 0.147042, -0.0936173, 0.0424125, -0.0267218, -0.115994, -0.155934
-0.0010338, 0.147042, 1, 0.158506, -0.323559, 0.300455, -0.269762, 0.0409479
-0.174525, -0.0936173, 0.158506, 1, -0.904955, 0.835293, 0.449563, -0.215736
0.187572, 0.0424125, -0.323559, -0.904955, 1, -0.982713, -0.119725, 0.118505
-0.169449, -0.0267218, 0.300455, 0.835293, -0.982713, 1, 0.0506716, -0.0917285
-0.0437607, -0.115994, -0.269762, 0.449563, -0.119725, 0.0506716, 1, -0.340864
0.215291, -0.155934, 0.0409479, -0.215736, 0.118505, -0.0917285, -0.340864, 1
_0.0_265x960 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, 0.12937, 0.0169273, -0.658991, 0.618824, -0.597493, -0.145511, 0.0760448
0.12937, 1, -0.188993, 0.0578707, -0.145682, 0.16103, 0.0916924, -0.271619
0.0169273, -0.188993, 1, -0.0116307, -0.0141413, 0.000211056, -0.55123, 0.363841
-0.658991, 0.0578707, -0.0116307, 1, -0.984171, 0.967617, -0.0142544, -0.285591
0.618824, -0.145682, -0.0141413, -0.984171, 1, -0.995785, -0.0196264, 0.203408
-0.597493, 0.16103, 0.000211056, 0.967617, -0.995785, 1, 0.0344466, -0.183091
-0.145511, 0.0916924, -0.55123, -0.0142544, -0.0196264, 0.0344466, 1, 0.171552
0.0760448, -0.271619, 0.363841, -0.285591, 0.203408, -0.183091, 0.171552, 1
_0.0_453x1061 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.0914201, -0.0127917, -0.167855, 0.182996, -0.166971, -0.065627, 0.196643
-0.0914201, 1, 0.177575, -0.106381, 0.0545256, -0.0394924, -0.152568, 0.0227915
-0.0127917, 0.177575, 1, 0.145175, -0.27793, 0.263588, -0.168215, 0.200542
-0.167855, -0.106381, 0.145175, 1, -0.900067, 0.823264, 0.487814, -0.227442
0.182996, 0.0545256, -0.27793, -0.900067, 1, -0.982105, -0.170568, 0.0856416
-0.166971, -0.0394924, 0.263588, 0.823264, -0.982105, 1, 0.0896651, -0.0515097
-0.065627, -0.152568, -0.168215, 0.487814, -0.170568, 0.0896651, 1, -0.401179
0.196643, 0.0227915, 0.200542, -0.227442, 0.0856416, -0.0515097, -0.401179, 1
_0.0_426x1044 (RGB)
